Genome	Source	Original_GFF	Staged_GFF
GCA_050516645.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516645.1/bacteraemia__GCA_050516645.1.gff	data/processed/core_genome/input_gffs_72/GCA_050516645.1.gff
GCA_050516655.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516655.1/bacteraemia__GCA_050516655.1.gff	data/processed/core_genome/input_gffs_72/GCA_050516655.1.gff
GCA_050516665.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516665.1/bacteraemia__GCA_050516665.1.gff	data/processed/core_genome/input_gffs_72/GCA_050516665.1.gff
GCA_050516675.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050516675.1/bacteraemia__GCA_050516675.1.gff	data/processed/core_genome/input_gffs_72/GCA_050516675.1.gff
GCF_049262565.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_049262565.1/reproductive__GCF_049262565.1.gff	data/processed/core_genome/input_gffs_72/GCF_049262565.1.gff
GCF_053117575.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117575.1/reproductive__GCF_053117575.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117575.1.gff
GCF_053117585.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117585.1/reproductive__GCF_053117585.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117585.1.gff
GCF_053117655.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117655.1/reproductive__GCF_053117655.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117655.1.gff
GCF_053117665.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117665.1/reproductive__GCF_053117665.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117665.1.gff
GCF_053117675.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117675.1/reproductive__GCF_053117675.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117675.1.gff
GCF_053117685.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117685.1/reproductive__GCF_053117685.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117685.1.gff
GCF_053117695.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117695.1/reproductive__GCF_053117695.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117695.1.gff
GCF_053117705.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_053117705.1/reproductive__GCF_053117705.1.gff	data/processed/core_genome/input_gffs_72/GCF_053117705.1.gff
GCF_906464925.1	Reproductive	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/reproductive/reproductive__GCF_906464925.1/reproductive__GCF_906464925.1.gff	data/processed/core_genome/input_gffs_72/GCF_906464925.1.gff
